opratDate,areaSdNm,areaSggNm,areaEmdNm,netInflow,floatingPop,numClosures,time,treatment
2023-01-01,부산광역시,남구,대연동,-91.0,1469.0,0,0,0
2023-01-01,부산광역시,부산진구,부전동,287.0,3603.0,0,0,0
2023-01-01,부산광역시,부산진구,전포동,-91.0,1279.0,0,0,0
2023-01-01,부산광역시,사상구,괘법동,34.0,814.0,0,0,0
2023-01-01,부산광역시,사하구,하단동,-17.0,971.0,0,0,0
2023-01-01,부산광역시,연제구,연산동,-174.0,2730.0,0,0,0
2023-01-01,부산광역시,해운대구,좌동,160.0,1814.0,0,0,0
2023-01-01,부산광역시,해운대구,중동,-108.0,1464.0,0,0,0
2023-01-02,부산광역시,남구,대연동,-113.0,2887.0,2,0,0
2023-01-02,부산광역시,부산진구,부전동,490.0,5956.0,0,0,0
2023-01-02,부산광역시,부산진구,전포동,-113.0,3133.0,0,0,0
2023-01-02,부산광역시,사상구,괘법동,20.0,1212.0,3,0,0
2023-01-02,부산광역시,사하구,하단동,-55.0,1561.0,0,0,0
2023-01-02,부산광역시,연제구,연산동,-388.0,4388.0,0,0,0
2023-01-02,부산광역시,해운대구,좌동,132.0,2510.0,0,0,0
2023-01-02,부산광역시,해운대구,중동,27.0,1805.0,0,0,0
2023-01-03,부산광역시,남구,대연동,-268.0,3118.0,0,0,0
2023-01-03,부산광역시,부산진구,부전동,541.0,6339.0,1,0,0
2023-01-03,부산광역시,부산진구,전포동,-14.0,3244.0,0,0,0
2023-01-03,부산광역시,사상구,괘법동,72.0,1236.0,1,0,0
2023-01-03,부산광역시,사하구,하단동,-68.0,1738.0,0,0,0
2023-01-03,부산광역시,연제구,연산동,-385.0,4567.0,0,0,0
2023-01-03,부산광역시,해운대구,좌동,153.0,2663.0,1,0,0
2023-01-03,부산광역시,해운대구,중동,-31.0,1989.0,0,0,0
2023-01-04,부산광역시,남구,대연동,-217.0,3049.0,0,0,0
2023-01-04,부산광역시,부산진구,부전동,545.0,6391.0,0,0,0
2023-01-04,부산광역시,부산진구,전포동,-21.0,3195.0,1,0,0
2023-01-04,부산광역시,사상구,괘법동,84.0,1264.0,0,0,0
2023-01-04,부산광역시,사하구,하단동,-69.0,1723.0,0,0,0
2023-01-04,부산광역시,연제구,연산동,-478.0,4612.0,0,0,0
2023-01-04,부산광역시,해운대구,좌동,180.0,2706.0,0,0,0
2023-01-04,부산광역시,해운대구,중동,-24.0,2032.0,1,0,0
2023-01-05,부산광역시,남구,대연동,-291.0,3067.0,0,0,0
